Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,18
design__inferred_latch__count,0
design__instance__count,9659
design__instance__area,17827.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,3
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.0002667017397470772
power__switching__total,0.00007331231608986855
power__leakage__total,1.8456610462180834E-8
power__total,0.00034003250766545534
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2565170093388633
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25666178242536886
timing__hold__ws__corner:nom_tt_025C_1v80,0.8257588180298892
timing__setup__ws__corner:nom_tt_025C_1v80,16.16333068693164
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.825759
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,21.104090
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,3
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,3
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2604326550351558
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2611554102446277
timing__hold__ws__corner:nom_ss_100C_1v60,1.8559259099304901
timing__setup__ws__corner:nom_ss_100C_1v60,13.084680376219067
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.855926
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,17.193146
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,3
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2556258332917925
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2556031847414496
timing__hold__ws__corner:nom_ff_n40C_1v95,0.43702487310428023
timing__setup__ws__corner:nom_ff_n40C_1v95,17.3394157273532
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.437025
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,22.347078
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,5
design__max_fanout_violation__count,3
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.2544763083395848
clock__skew__worst_setup,0.2545810023737679
timing__hold__ws,0.43072541197324493
timing__setup__ws,12.892980381581443
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.430725
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,17.154058
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 200.0 3500.0
design__core__bbox,5.52 10.88 194.12 3487.04
design__io,15
design__die__area,700000
design__core__area,655604
design__instance__count__stdcell,9659
design__instance__area__stdcell,17827.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.0271919
design__instance__utilization__stdcell,0.0271919
design__instance__count__class:inverter,97
design__instance__count__class:sequential_cell,84
design__instance__count__class:multi_input_combinational_cell,246
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,66138
design__instance__count__class:tap_cell,8960
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,19464.6
design__violations,0
design__instance__count__class:timing_repair_buffer,186
design__instance__count__class:clock_buffer,12
design__instance__count__class:clock_inverter,4
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,167
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,70
antenna_diodes_count,0
route__net,624
route__net__special,2
route__drc_errors__iter:1,159
route__wirelength__iter:1,20248
route__drc_errors__iter:2,33
route__wirelength__iter:2,20169
route__drc_errors__iter:3,19
route__wirelength__iter:3,20140
route__drc_errors__iter:4,0
route__wirelength__iter:4,20132
route__drc_errors,0
route__wirelength,20132
route__vias,3674
route__vias__singlecut,3674
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1655.49
timing__unannotated_net__count__corner:nom_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,3
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25541566806728705
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2556722406155343
timing__hold__ws__corner:min_tt_025C_1v80,0.820307733847115
timing__setup__ws__corner:min_tt_025C_1v80,16.285377063391184
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.820308
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
